Product Name,Price,Rating,Product Link,Brand,Category,Discount,Reviews Count,Availability
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,"₹17,990",4.6,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1405cta-s60620-laptop/p/itm5a14f3731bf15?pid=COMHKQA3R42GHHJF&lid=LSTCOMHKQA3R42GHHJF7ASEFY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fMOzfIuRJnj4DnCC_g4wVbCZakLBxIlV07N4a0CzC8MqcLyKkkJ4FVSCMVtDtX8al9mM6acstCKQdBmFpp4kZ7&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,28,3270,In Stock
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (8 GB/64 GB EMMC Storage/Chrome OS) 100e Chromebo...,"₹16,490",3.8,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-8-gb-64-gb-emmc-storage-chrome-os/p/itm338cfd61c4d4e?pid=COMHC5G9YPVUM34V&lid=LSTCOMHC5G9YPVUM34VZ0HVSZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fLI8dylVXEwJe8m1mu1jas9uY6tH6JId0DFy414_BAgoARYpj3g3Oz2JC8HKAR2u19mM6acstCKQdBmFpp4kZ7&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,13,2850,In Stock
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹40,990",3.7,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-bq323ws-thin-light-laptop/p/itm424e5fcb88c91?pid=COMHCQ5EYPZNGG7B&lid=LSTCOMHCQ5EYPZNGG7BUDAPF3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHCQ5EYPZNGG7B.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,7,2466,In Stock
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹58,990",4.8,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Samsung,laptop,10,4749,In Stock
HP 15 with MSO'2024 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU | 15-f...,"₹43,990",4.2,https://www.flipkart.com/hp-15-mso-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0025au-15-fc0500au-thin-light-laptop/p/itm3f21e9fdfc42f?pid=COMGZ7FRZDEQHNYQ&lid=LSTCOMGZ7FRZDEQHNYQBQYKKH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMGZ7FRZDEQHNYQ.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,HP,laptop,10,1365,In Stock
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹58,990",3.6,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fxs9J-yOtBOzr8O7asBG7kOY-pGVKDcb71G5RIX4YtmsepSi-0qM5FPzbKfDXFi8GiF6uIofEXEMeMQodflCwK&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Samsung,laptop,35,1922,In Stock
ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 1...,"₹46,990",3.9,https://www.flipkart.com/asus-expertbook-p1-i3-14th-gen-1-yr-adp-intel-core-3-gen-100u-8-gb-512-gb-ssd-windows-11-home-p1503cva-s72562ws-thin-light-laptop/p/itm1ed622fed8f3a?pid=COMHGYAFDTDPH4GZ&lid=LSTCOMHGYAFDTDPH4GZTQUSTS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHGYAFDTDPH4GZ.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,9,3029,In Stock
Acer Aspire 5 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) A514-54H Notebook,"₹89,990",4.0,https://www.flipkart.com/acer-aspire-5-intel-core-ultra-125h-16-gb-512-gb-ssd-windows-11-home-a514-54h-notebook/p/itmd237a2b9aa3ad?pid=COMHNNKQR9FURZZQ&lid=LSTCOMHNNKQR9FURZZQIVFW7Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHNNKQR9FURZZQ.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Acer,laptop,10,4416,In Stock
HP 15s Intel Core i3 11th Gen 1125G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light L...,"₹42,990",3.6,https://www.flipkart.com/hp-15s-intel-core-i3-11th-gen-1125g4-8-gb-512-gb-ssd-windows-11-home-15s-fq2629tu-thin-light-laptop/p/itm6b83aa8fab029?pid=COMGBH9JZ4ZFH9GH&lid=LSTCOMGBH9JZ4ZFH9GHN7FV3Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMGBH9JZ4ZFH9GH.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,HP,laptop,13,570,In Stock
Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹66,990",4.1,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-np750xgj-lg8in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Samsung,laptop,27,2376,In Stock
